,X_logret_Y_1Y,X_logret_Y_2Y,X_logret_Y_3Y,X_logret_Y_4Y,X_logret_Y_5Y
2026-01-06,-0.0057997797,-0.012090861,-0.0088795705,0.0010692027,0.0064466378
2026-01-07,-0.0116915558,0.0012601143,-0.0005711098,-0.0098596327,-0.0137899362
2026-01-08,0.0010675457,-0.0047996779,-0.0039397805,0.0047610529,0.0070853532
2026-01-09,-0.0037568625,0.0018169362,0.0010727429,-0.0041716226,-0.0055825435
2026-01-12,0.0073686982,-0.0044510024,-0.0043299493,0.0023169943,0.0027136645
2026-01-13,-0.002679671,0.0051222995,0.0044539866,0.0036598049,0.0009567434
2026-01-14,0.0029440623,-0.0048537114,-0.0040961843,-0.0116576377,-0.0127233426
2026-01-15,-0.0169297655,-0.0067590994,-0.0047232956,-0.0025514739,0.0001430353
2026-01-16,0.0030145404,8.9535e-06,0.0010635313,0.0037371763,0.0037534963
