,Y_1Y,Y_2Y,Y_3Y,Y_4Y,Y_5Y
Y_1Y,5.9203133e-05,3.040486e-06,2.319025e-06,1.4988082e-05,1.3613358e-05
Y_2Y,3.040486e-06,2.767095e-05,2.081897e-05,-1.049517e-06,-1.4508126e-05
Y_3Y,2.319025e-06,2.081897e-05,1.6303817e-05,1.850971e-06,-7.462795e-06
Y_4Y,1.4988082e-05,-1.049517e-06,1.850971e-06,3.6956883e-05,4.4517631e-05
Y_5Y,1.3613358e-05,-1.4508126e-05,-7.462795e-06,4.4517631e-05,6.0490453e-05
