,1yr-1yr,1yr-2yr,1yr-3yr,1yr-4yr
1yr-1yr,0.000132626717,1.5031725e-05,-0.000155496823,-0.000121925795
1yr-2yr,1.5031725e-05,7.669858e-06,5.155005e-06,-2.72865e-07
1yr-3yr,-0.000155496823,5.155005e-06,0.000593337822,0.000371570277
1yr-4yr,-0.000121925795,-2.72865e-07,0.000371570277,0.000274109555
