,PC1,PC2,PC3,PC4,PC5
Y_1Y,-0.3791105867023427,-0.7841612631212065,0.48968784152955486,0.03512298916489694,-0.01839755311468154
Y_2Y,0.14728682797705717,-0.45104239977884397,-0.6022961482815335,-0.36103244602393464,-0.5308128357428841
Y_3Y,0.07360206434464024,-0.3260870857396205,-0.5003811300232057,0.6958568639188358,0.39198456384377134
Y_4Y,-0.5534612005536392,0.015781445414513512,-0.34588475289750564,-0.5022222616078742,0.5670698220861841
Y_5Y,-0.723080347513742,0.2739890974406932,-0.1656128921705251,0.3632877281613186,-0.4926247882895685
